"ID","Date","NDVI","Satellite"
93689,2019-04-23,0.308320571720265,"L8"
93689,2019-04-23,0.308212560386474,"L8"
93689,2019-04-26,0.243811881188119,"S2"
93689,2019-05-01,0.216507936507937,"S2"
93689,2019-05-08,0.258009293225728,"S2"
93689,2019-05-16,0.202296336796063,"S2"
93689,2019-05-18,0.160790391321193,"S2"
93689,2019-05-28,0.230340211935304,"S2"
93689,2019-05-31,0.228590250329381,"S2"
93689,2019-06-05,0.206740351512955,"S2"
93689,2019-06-10,0.334959349593496,"S2"
93689,2019-06-12,0.361860209135938,"S2"
93689,2019-06-26,0.78149300155521,"L8"
93689,2019-06-30,0.616197975253093,"S2"
93689,2019-07-02,0.6910967290537,"S2"
93689,2019-07-05,0.815448418869881,"S2"
93689,2019-07-10,0.829746532759445,"S2"
93689,2019-07-10,0.839405560882071,"S2"
93689,2019-07-12,0.873242483235994,"S2"
93689,2019-07-12,0.880008391021607,"L8"
93689,2019-07-12,0.876376988984088,"L8"
93689,2019-07-20,0.855491329479769,"S2"
93689,2019-07-25,0.899926416482708,"S2"
93689,2019-07-27,0.865936473165389,"S2"
93689,2019-08-01,0.894133215703573,"S2"
93689,2019-08-04,0.899603081951903,"S2"
93689,2019-08-06,0.891795215738878,"S2"
93689,2019-08-11,0.81024741866355,"S2"
93689,2019-08-19,0.893117831074035,"S2"
93689,2019-08-21,0.863853303190153,"S2"
93689,2019-08-24,0.799281437125749,"S2"
93689,2019-08-29,0.902860226659471,"S2"
93689,2019-08-29,0.886358408097539,"L8"
93689,2019-08-29,0.88601282355735,"L8"
93689,2019-09-03,0.874468085106383,"S2"
93689,2019-09-05,0.846290274903931,"S2"
93689,2019-09-10,0.796709129511677,"S2"
93689,2019-09-13,0.809954751131222,"S2"
93689,2019-09-14,0.767326732673267,"L8"
93689,2019-09-14,0.768595041322314,"L8"
93689,2019-09-18,0.303976435935199,"S2"
93689,2019-09-20,0.251498031159048,"S2"
93689,2019-09-23,0.23390458545623,"S2"
93689,2019-09-25,0.199844479004666,"S2"
93689,2019-09-30,0.191099031764906,"S2"
93689,2019-09-30,0.266726457399103,"L8"
93689,2019-09-30,0.268801727240014,"L8"
93689,2019-10-05,0.207840093149622,"S2"
93689,2019-10-08,0.236114184554105,"S2"
93689,2019-10-13,0.269120334116419,"S2"
93689,2019-10-15,0.22959298403418,"S2"
93689,2019-10-18,0.27256069628951,"S2"
93689,2019-10-20,0.26196928635953,"S2"
93689,2019-10-23,0.336040609137056,"S2"
93689,2019-11-01,0.450043190325367,"L8"
93689,2019-11-01,0.447065940713854,"L8"
93689,2019-11-02,0.409990574929312,"S2"
93689,2019-11-09,0.506728920626202,"S2"
93689,2019-11-14,0.076626196027981,"S2"
93689,2019-11-24,0.495729013254786,"S2"
93689,2019-12-03,0.446210916799152,"L8"
93689,2019-12-03,0.452266666666667,"L8"
93689,2019-12-04,0.555432372505543,"S2"
